ARMCacheCoherence-PT-none-ReachabilityCardinality-00 AG 84
ARMCacheCoherence-PT-none-ReachabilityCardinality-01 EF 143
ARMCacheCoherence-PT-none-ReachabilityCardinality-02 EF 101
ARMCacheCoherence-PT-none-ReachabilityCardinality-03 EF 135
ARMCacheCoherence-PT-none-ReachabilityCardinality-04 AG 7
ARMCacheCoherence-PT-none-ReachabilityCardinality-05 EF 172
ARMCacheCoherence-PT-none-ReachabilityCardinality-06 AG 64
ARMCacheCoherence-PT-none-ReachabilityCardinality-07 AG 7
ARMCacheCoherence-PT-none-ReachabilityCardinality-08 EF 32
ARMCacheCoherence-PT-none-ReachabilityCardinality-09 EF 68
ARMCacheCoherence-PT-none-ReachabilityCardinality-10 AG 7
ARMCacheCoherence-PT-none-ReachabilityCardinality-11 AG 14
ARMCacheCoherence-PT-none-ReachabilityCardinality-12 EF 7
ARMCacheCoherence-PT-none-ReachabilityCardinality-13 AG 244
ARMCacheCoherence-PT-none-ReachabilityCardinality-14 AG 58
ARMCacheCoherence-PT-none-ReachabilityCardinality-15 EF 94
ARMCacheCoherence-PT-none-ReachabilityFireability-00 AG 68
ARMCacheCoherence-PT-none-ReachabilityFireability-01 EF 5
ARMCacheCoherence-PT-none-ReachabilityFireability-02 EF 52
ARMCacheCoherence-PT-none-ReachabilityFireability-03 AG 55
ARMCacheCoherence-PT-none-ReachabilityFireability-04 EF 206
ARMCacheCoherence-PT-none-ReachabilityFireability-05 EF 5
ARMCacheCoherence-PT-none-ReachabilityFireability-06 AG 64
ARMCacheCoherence-PT-none-ReachabilityFireability-07 AG 6
ARMCacheCoherence-PT-none-ReachabilityFireability-08 AG 6
ARMCacheCoherence-PT-none-ReachabilityFireability-09 AG 20
ARMCacheCoherence-PT-none-ReachabilityFireability-10 AG 6
ARMCacheCoherence-PT-none-ReachabilityFireability-11 EF 56
ARMCacheCoherence-PT-none-ReachabilityFireability-12 EF 5
ARMCacheCoherence-PT-none-ReachabilityFireability-13 AG 134
ARMCacheCoherence-PT-none-ReachabilityFireability-14 EF 5
ARMCacheCoherence-PT-none-ReachabilityFireability-15 AG 6
ASLink-PT-01a-ReachabilityCardinality-00 EF 69
ASLink-PT-01a-ReachabilityCardinality-01 EF 21
ASLink-PT-01a-ReachabilityCardinality-02 AG 7
ASLink-PT-01a-ReachabilityCardinality-03 EF 7
ASLink-PT-01a-ReachabilityCardinality-04 AG 13
ASLink-PT-01a-ReachabilityCardinality-05 AG 113
ASLink-PT-01a-ReachabilityCardinality-06 AG 7
ASLink-PT-01a-ReachabilityCardinality-07 EF 97
ASLink-PT-01a-ReachabilityCardinality-08 AG 8
ASLink-PT-01a-ReachabilityCardinality-09 AG 14
ASLink-PT-01a-ReachabilityCardinality-10 AG 138
ASLink-PT-01a-ReachabilityCardinality-11 EF 33
ASLink-PT-01a-ReachabilityCardinality-12 AG 41
ASLink-PT-01a-ReachabilityCardinality-13 AG 309
ASLink-PT-01a-ReachabilityCardinality-14 AG 108
ASLink-PT-01a-ReachabilityCardinality-15 EF 7
ASLink-PT-01a-ReachabilityFireability-00 AG 9
ASLink-PT-01a-ReachabilityFireability-01 EF 5
ASLink-PT-01a-ReachabilityFireability-02 EF 5
ASLink-PT-01a-ReachabilityFireability-03 EF 133
ASLink-PT-01a-ReachabilityFireability-04 EF 5
ASLink-PT-01a-ReachabilityFireability-05 EF 5
ASLink-PT-01a-ReachabilityFireability-06 EF 5
ASLink-PT-01a-ReachabilityFireability-07 EF 5
ASLink-PT-01a-ReachabilityFireability-08 AG 96
ASLink-PT-01a-ReachabilityFireability-09 EF 30
ASLink-PT-01a-ReachabilityFireability-10 AG 101
ASLink-PT-01a-ReachabilityFireability-11 EF 92
ASLink-PT-01a-ReachabilityFireability-12 AG 6
ASLink-PT-01a-ReachabilityFireability-13 EF 15
ASLink-PT-01a-ReachabilityFireability-14 AG 77
ASLink-PT-01a-ReachabilityFireability-15 EF 5
ASLink-PT-01b-ReachabilityCardinality-00 AG 62
ASLink-PT-01b-ReachabilityCardinality-01 AG 96
ASLink-PT-01b-ReachabilityCardinality-02 AG 7
ASLink-PT-01b-ReachabilityCardinality-03 EF 7
ASLink-PT-01b-ReachabilityCardinality-04 EF 56
ASLink-PT-01b-ReachabilityCardinality-05 AG 8
ASLink-PT-01b-ReachabilityCardinality-06 EF 7
ASLink-PT-01b-ReachabilityCardinality-07 AG 239
ASLink-PT-01b-ReachabilityCardinality-08 EF 14
