0 0 272
0 5 90
0 10 29
0 15 12
0 20 36
0 25 33
0 30 31
0 35 32
0 40 36
0 45 36
0 50 32
0 55 26
0 60 27
0 65 21
0 70 28
0 75 17
0 80 15
0 85 10
0 90 9
0 95 14
0 100 8
0 105 10
0 110 4
0 115 3
0 120 2
0 125 5
0 130 1
0 135 6
0 140 1
0 145 1
0 150 2
0 155 2
0 165 2
0 185 1
0 205 1
1 0 107
1 5 38
1 10 6
1 15 9
1 20 12
1 25 15
1 30 13
1 35 17
1 40 13
1 45 11
1 50 11
1 55 9
1 60 12
1 65 6
1 70 7
1 75 4
1 80 6
1 85 3
1 90 4
1 95 4
1 100 4
1 105 2
1 110 2
1 115 3
1 120 4
1 125 2
1 130 1
1 135 1
1 140 1
1 165 1
2 0 92
2 5 29
2 10 5
2 15 11
2 20 9
2 25 8
2 30 6
2 35 14
2 40 9
2 45 15
2 50 10
2 55 12
2 60 5
2 65 6
2 70 7
2 75 8
2 80 3
2 85 2
2 90 2
2 95 3
2 100 2
2 105 2
2 110 5
2 115 4
2 120 1
2 125 2
2 135 3
2 155 1
2 180 1
2 190 3
3 0 2
3 50 1
3 0 253
3 5 70
3 10 31
3 15 20
3 20 28
3 25 27
3 30 32
3 35 22
3 40 27
3 45 23
3 50 22
3 55 27
3 60 15
3 65 29
3 70 22
3 75 19
3 80 16
3 85 14
3 90 7
3 95 11
3 100 8
3 105 8
3 110 7
3 115 5
3 120 2
3 125 1
3 130 4
3 135 8
3 140 1
3 145 1
3 160 1
3 180 1
3 195 1
3 230 1
4 0 19
4 5 8
4 15 1
4 20 5
4 25 2
4 30 3
4 35 3
4 40 2
4 55 2
4 60 2
4 65 2
4 70 2
4 75 2
4 80 1
4 105 1
4 115 1
4 0 159
4 5 58
4 10 20
4 15 13
4 20 16
4 25 13
4 30 20
4 35 17
4 40 17
4 45 17
4 50 10
4 55 21
4 60 10
4 65 20
4 70 16
4 75 16
4 80 15
4 85 6
4 90 5
4 95 8
4 100 10
4 105 5
4 110 4
4 115 5
4 120 3
4 125 3
4 130 1
4 135 2
4 140 1
4 150 6
4 155 1
4 180 1
5 0 19
5 5 7
5 10 2
5 15 1
5 20 3
5 25 8
5 30 2
5 35 1
5 40 1
5 45 2
5 50 2
5 55 5
5 60 2
5 65 3
5 70 3
5 75 1
5 80 2
5 85 2
5 95 1
5 100 1
5 105 3
5 145 1
5 155 1
5 0 1331
5 5 442
5 10 126
5 15 100
5 20 151
5 25 138
5 30 152
5 35 153
5 40 162
5 45 143
5 50 122
5 55 125
5 60 114
5 65 113
5 70 121
5 75 92
5 80 66
5 85 55
5 90 53
5 95 56
5 100 38
5 105 40
5 110 33
5 115 21
5 120 21
5 125 15
5 130 11
5 135 12
5 140 15
5 145 6
5 150 8
